"","pct_sig","sample_size","baseline_nps","comparison_nps","nps_inrease"
"1",99.4,3000,"p30","p40",10
"2",99.4,3000,"p40","p50",10
"3",98.3,3000,"p50","p60",10
"4",100,3000,"p60","p70",10
"5",100,3000,"p70","p80",10
"6",52,3000,"p30","p35",5
"7",44.5,3000,"p35","p40",5
"8",37,3000,"p50","p55",5
"9",29.1,3000,"p55","p60",5
"10",69.3,3000,"p70","p75",5
"11",58.7,3000,"p75","p80",5
"12",89.3,3000,"p80","p85",5
"13",99.8,4000,"p30","p40",10
"14",100,4000,"p40","p50",10
"15",99.9,4000,"p50","p60",10
"16",99.9,4000,"p60","p70",10
"17",100,4000,"p70","p80",10
"18",51.5,4000,"p30","p35",5
"19",52.9,4000,"p35","p40",5
"20",56.2,4000,"p50","p55",5
"21",49.5,4000,"p55","p60",5
"22",91,4000,"p70","p75",5
"23",84.8,4000,"p75","p80",5
"24",91,4000,"p80","p85",5
"25",100,5000,"p30","p40",10
"26",100,5000,"p40","p50",10
"27",100,5000,"p50","p60",10
"28",100,5000,"p60","p70",10
"29",100,5000,"p70","p80",10
"30",74.3,5000,"p30","p35",5
"31",59.9,5000,"p35","p40",5
"32",57.7,5000,"p50","p55",5
"33",55.4,5000,"p55","p60",5
"34",92.3,5000,"p70","p75",5
"35",87,5000,"p75","p80",5
"36",99.6,5000,"p80","p85",5
