"","pct_sig","sample_size","baseline_nps","comparison_nps","nps_drop"
"1",57.2,50,"80","40",40
"2",53.1,50,"70","30",40
"3",44.7,50,"60","20",40
"4",45.4,50,"50","10",40
"5",37.7,50,"40","0",40
"6",14.3,50,"80","60",20
"7",11.3,50,"70","50",20
"8",8.3,50,"60","40",20
"9",7.8,50,"50","30",20
"10",7.9,50,"40","20",20
"11",91,100,"80","40",40
"12",87.2,100,"70","30",40
"13",81.4,100,"60","20",40
"14",78.6,100,"50","10",40
"15",77.2,100,"40","0",40
"16",33.6,100,"80","60",20
"17",24.4,100,"70","50",20
"18",18.9,100,"60","40",20
"19",19.3,100,"50","30",20
"20",16.4,100,"40","20",20
"21",100,250,"80","40",40
"22",100,250,"70","30",40
"23",99.8,250,"60","20",40
"24",99.7,250,"50","10",40
"25",99.6,250,"40","0",40
"26",79.9,250,"80","60",20
"27",63.9,250,"70","50",20
"28",56.5,250,"60","40",20
"29",57.1,250,"50","30",20
"30",47.4,250,"40","20",20
"31",100,500,"80","40",40
"32",100,500,"70","30",40
"33",100,500,"60","20",40
"34",100,500,"50","10",40
"35",100,500,"40","0",40
"36",99.3,500,"80","60",20
"37",95.5,500,"70","50",20
"38",90.7,500,"60","40",20
"39",91,500,"50","30",20
"40",85.4,500,"40","20",20
"41",100,1000,"80","40",40
"42",100,1000,"70","30",40
"43",100,1000,"60","20",40
"44",100,1000,"50","10",40
"45",100,1000,"40","0",40
"46",100,1000,"80","60",20
"47",99.9,1000,"70","50",20
"48",99.6,1000,"60","40",20
"49",99.8,1000,"50","30",20
"50",99.6,1000,"40","20",20
