"","pct_sig","sample_size","baseline_nps","comparison_nps","nps_increase"
"1",3.4,100,"p30","p40",10
"2",4.2,100,"p40","p50",10
"3",3.6,100,"p50","p60",10
"4",5,100,"p60","p70",10
"5",6.8,100,"p70","p80",10
"6",0.8,100,"p30","p35",5
"7",1.8,100,"p35","p40",5
"8",1.4,100,"p50","p55",5
"9",1.2,100,"p55","p60",5
"10",2,100,"p70","p75",5
"11",1.4,100,"p75","p80",5
"12",3.4,100,"p80","p85",5
"13",7.6,250,"p30","p40",10
"14",10.2,250,"p40","p50",10
"15",7.2,250,"p50","p60",10
"16",18,250,"p60","p70",10
"17",19.6,250,"p70","p80",10
"18",2,250,"p30","p35",5
"19",2.4,250,"p35","p40",5
"20",2.2,250,"p50","p55",5
"21",1.4,250,"p55","p60",5
"22",4.2,250,"p70","p75",5
"23",3.2,250,"p75","p80",5
"24",6.2,250,"p80","p85",5
"25",24.4,500,"p30","p40",10
"26",25.4,500,"p40","p50",10
"27",21.2,500,"p50","p60",10
"28",40.6,500,"p60","p70",10
"29",46.2,500,"p70","p80",10
"30",4.2,500,"p30","p35",5
"31",1.4,500,"p35","p40",5
"32",3.4,500,"p50","p55",5
"33",2.6,500,"p55","p60",5
"34",8.8,500,"p70","p75",5
"35",5.8,500,"p75","p80",5
"36",11.4,500,"p80","p85",5
"37",55.4,1000,"p30","p40",10
"38",56.2,1000,"p40","p50",10
"39",49.4,1000,"p50","p60",10
"40",75.2,1000,"p60","p70",10
"41",82.8,1000,"p70","p80",10
"42",8.8,1000,"p30","p35",5
"43",9,1000,"p35","p40",5
"44",7.6,1000,"p50","p55",5
"45",6.6,1000,"p55","p60",5
"46",18.2,1000,"p70","p75",5
"47",18.4,1000,"p75","p80",5
"48",24.8,1000,"p80","p85",5
"49",73.2,1500,"p30","p40",10
"50",80.6,1500,"p40","p50",10
"51",76.8,1500,"p50","p60",10
"52",94.6,1500,"p60","p70",10
"53",96.6,1500,"p70","p80",10
"54",14.2,1500,"p30","p35",5
"55",12,1500,"p35","p40",5
"56",15.6,1500,"p50","p55",5
"57",14.2,1500,"p55","p60",5
"58",31.2,1500,"p70","p75",5
"59",36.2,1500,"p75","p80",5
"60",43.6,1500,"p80","p85",5
"61",89,2000,"p30","p40",10
"62",93.8,2000,"p40","p50",10
"63",91.4,2000,"p50","p60",10
"64",99.2,2000,"p60","p70",10
"65",98.4,2000,"p70","p80",10
"66",21,2000,"p30","p35",5
"67",17,2000,"p35","p40",5
"68",24.2,2000,"p50","p55",5
"69",19.4,2000,"p55","p60",5
"70",50.4,2000,"p70","p75",5
"71",41,2000,"p75","p80",5
"72",59.4,2000,"p80","p85",5
