"",".","Freq"
"1","April 1, 1990",1
"2","April 1, 2011",1
"3","April 1, 2012",3
"4","April 1, 2013",8
"5","April 1, 2014",3
"6","April 1, 2015",6
"7","April 1, 2016",4
"8","April 1, 2017",3
"9","April 1, 2018",1
"10","April 1, 2019",13
"11","April 1, 2020",14
"12","April 1, 2021",8
"13","April 1, 2022",4
"14","April 10, 1994",1
"15","April 10, 2005",1
"16","April 10, 2010",1
"17","April 10, 2012",2
"18","April 10, 2013",3
"19","April 10, 2014",1
"20","April 10, 2015",5
"21","April 10, 2017",5
"22","April 10, 2018",10
"23","April 10, 2019",7
"24","April 10, 2020",7
"25","April 10, 2021",3
"26","April 10, 2022",3
"27","April 11, 1999",1
"28","April 11, 2011",1
"29","April 11, 2012",2
"30","April 11, 2013",2
"31","April 11, 2014",3
"32","April 11, 2015",3
"33","April 11, 2016",6
"34","April 11, 2017",11
"35","April 11, 2018",6
"36","April 11, 2019",6
"37","April 11, 2020",8
"38","April 11, 2021",1
"39","April 11, 2022",6
"40","April 12, 1992",1
"41","April 12, 2011",4
"42","April 12, 2012",2
"43","April 12, 2013",1
"44","April 12, 2015",2
"45","April 12, 2016",4
"46","April 12, 2017",6
"47","April 12, 2018",8
"48","April 12, 2019",7
"49","April 12, 2020",3
"50","April 12, 2021",4
"51","April 12, 2022",8
"52","April 13, 2010",7
"53","April 13, 2011",4
"54","April 13, 2012",1
"55","April 13, 2013",2
"56","April 13, 2014",17
"57","April 13, 2015",1
"58","April 13, 2016",6
"59","April 13, 2017",9
"60","April 13, 2018",6
"61","April 13, 2019",2
"62","April 13, 2020",27
"63","April 13, 2021",8
"64","April 13, 2022",6
"65","April 14, 2002",2
"66","April 14, 2011",3
"67","April 14, 2013",2
"68","April 14, 2014",1
"69","April 14, 2015",1
"70","April 14, 2016",5
"71","April 14, 2017",4
"72","April 14, 2018",3
"73","April 14, 2019",1
"74","April 14, 2020",6
"75","April 14, 2021",5
"76","April 14, 2022",5
"77","April 15, 2008",1
"78","April 15, 2011",2
"79","April 15, 2012",2
"80","April 15, 2013",7
"81","April 15, 2014",2
"82","April 15, 2015",2
"83","April 15, 2016",5
"84","April 15, 2019",8
"85","April 15, 2020",8
"86","April 15, 2021",8
"87","April 15, 2022",5
"88","April 16, 2000",1
"89","April 16, 2012",4
"90","April 16, 2013",3
"91","April 16, 2014",1
"92","April 16, 2015",5
"93","April 16, 2016",2
"94","April 16, 2017",2
"95","April 16, 2018",7
"96","April 16, 2019",9
"97","April 16, 2020",6
"98","April 16, 2021",10
"99","April 16, 2022",3
"100","April 17, 1988",1
"101","April 17, 1994",1
"102","April 17, 2005",1
"103","April 17, 2012",4
"104","April 17, 2013",4
"105","April 17, 2014",1
"106","April 17, 2015",3
"107","April 17, 2016",1
"108","April 17, 2017",4
"109","April 17, 2018",10
"110","April 17, 2019",6
"111","April 17, 2020",8
"112","April 17, 2021",2
"113","April 17, 2022",2
"114","April 18, 1993",1
"115","April 18, 1999",1
"116","April 18, 2004",1
"117","April 18, 2008",1
"118","April 18, 2011",1
"119","April 18, 2012",5
"120","April 18, 2013",2
"121","April 18, 2014",12
"122","April 18, 2015",1
"123","April 18, 2016",6
"124","April 18, 2017",12
"125","April 18, 2018",11
"126","April 18, 2019",8
"127","April 18, 2020",4
"128","April 18, 2021",5
"129","April 18, 2022",5
"130","April 19, 2008",2
"131","April 19, 2011",1
"132","April 19, 2012",3
"133","April 19, 2013",1
"134","April 19, 2016",5
"135","April 19, 2017",17
"136","April 19, 2018",11
"137","April 19, 2019",5
"138","April 19, 2020",3
"139","April 19, 2021",7
"140","April 19, 2022",6
"141","April 2, 1989",1
"142","April 2, 2000",1
"143","April 2, 2009",1
"144","April 2, 2010",1
"145","April 2, 2012",5
"146","April 2, 2013",4
"147","April 2, 2014",7
"148","April 2, 2015",8
"149","April 2, 2016",5
"150","April 2, 2017",1
"151","April 2, 2018",6
"152","April 2, 2019",3
"153","April 2, 2020",11
"154","April 2, 2021",6
"155","April 2, 2022",2
"156","April 20, 1986",1
"157","April 20, 2010",2
"158","April 20, 2011",1
"159","April 20, 2012",3
"160","April 20, 2014",2
"161","April 20, 2015",5
"162","April 20, 2016",8
"163","April 20, 2017",10
"164","April 20, 2018",12
"165","April 20, 2019",4
"166","April 20, 2020",10
"167","April 20, 2021",9
"168","April 20, 2022",5
"169","April 21, 1985",1
"170","April 21, 2002",1
"171","April 21, 2010",4
"172","April 21, 2011",2
"173","April 21, 2012",1
"174","April 21, 2013",3
"175","April 21, 2014",4
"176","April 21, 2015",4
"177","April 21, 2016",4
"178","April 21, 2017",7
"179","April 21, 2018",2
"180","April 21, 2019",2
"181","April 21, 2020",7
"182","April 21, 2021",8
"183","April 21, 2022",6
"184","April 22, 1990",1
"185","April 22, 2001",1
"186","April 22, 2012",3
"187","April 22, 2013",8
"188","April 22, 2014",2
"189","April 22, 2015",5
"190","April 22, 2016",5
"191","April 22, 2017",2
"192","April 22, 2019",6
"193","April 22, 2020",8
"194","April 22, 2021",11
"195","April 22, 2022",5
"196","April 23, 2002",2
"197","April 23, 2006",1
"198","April 23, 2009",2
"199","April 23, 2012",3
"200","April 23, 2013",2
"201","April 23, 2014",2
"202","April 23, 2015",5
"203","April 23, 2016",3
"204","April 23, 2018",11
"205","April 23, 2019",9
"206","April 23, 2020",5
"207","April 23, 2021",6
"208","April 23, 2022",2
"209","April 24, 1988",1
"210","April 24, 2002",2
"211","April 24, 2009",1
"212","April 24, 2011",1
"213","April 24, 2012",2
"214","April 24, 2013",5
"215","April 24, 2014",2
"216","April 24, 2015",6
"217","April 24, 2016",1
"218","April 24, 2017",5
"219","April 24, 2018",13
