"","first_name","last_name","publication_titles","media_types","Year","month","day"
"1","Becky ","Pippert ","Evangelism Is Much Easier Than You Think","sermon",2000,"January",1
"2","Vaneetha ","Rendall Risner ","When Shame Remains After Divorce","sermon",2009,"April",23
"3","Vaneetha ","Rendall Risner ","Experiencing God in Your Affliction","sermon",2009,"March",25
"4","Vaneetha ","Rendall Risner ","Forgiveness: The Hardest and Most Life-Changing Thing We Can Do","sermon",2009,"March",1
"5","Vaneetha ","Rendall Risner ","How You Can Walk Through Fire","sermon",2009,"February",22
"6","Vaneetha ","Rendall Risner ","When My Life Fell Apart, I Needed a Bible That Wouldn’t","sermon",2009,"February",2
"7","Vaneetha ","Rendall Risner ","Clinging to God in Grief","sermon",2009,"February",2
"8","Vaneetha ","Rendall Risner ","In My Desperation, Jesus Is More Than Enough","sermon",2009,"January",8
"9","Vaneetha ","Rendall Risner ","Mourning with No Real Hope","sermon",2009,"January",7
"10","Vaneetha ","Rendall Risner ","How to Pray When Life Falls Apart","sermon",2009,"January",6
"11","Vaneetha ","Rendall Risner ","It’s Better to Have a Trouble","sermon",2009,"January",5
"12","Emily T. ","Wierenga ","When Life Changes in a Moment","sermon",2006,"October",24
"13","Emily T. ","Wierenga ","The Church Is Not the Enemy","sermon",2006,"October",8
"14","Emily T. ","Wierenga ","8 Lies Christians Believe About Success","sermon",2006,"October",7
"15","Emily T. ","Wierenga ","Why I’m Not Always Opposed to Religious Tourism","sermon",2006,"October",7
"16","Emily T. ","Wierenga ","To the Evangelical Church: From a Recovering Progressive","sermon",2006,"October",7
"17","Heidi ","Carlson ","Millions of Kids Won’t Be at School This Fall. Christians Can Step Up to Serve.","sermon",2006,"July",8
"18","Heidi ","Carlson ","How to Explain War to Children","sermon",2006,"July",8
"19","Heidi ","Carlson ","Moms Make Good Short-Term Missionaries","sermon",2006,"July",7
"20","Heidi ","Carlson ","Embracing the Good in ‘Goodbye’","sermon",2006,"July",7
"21","Heidi ","Carlson ","The Benefits of Going to Church on Vacation","sermon",2006,"July",7
"22","Heidi ","Carlson ","Where Can We Be Safe?","sermon",2006,"July",7
"23","Sue ","Liljenberg ","Comforting Those Caught in the Crossfire of the Abortion Debate","sermon",2006,"July",7
"24","Ashley ","Dickens ","For the Least of These: A Biblical Answer to Poverty","sermon",2005,"June",17
